region,type,os,price
us-east-1,t2.nano,linux,0.0059
us-east-1,t2.micro,linux,0.012
us-east-1,t2.small,linux,0.023
us-east-1,t2.medium,linux,0.047
us-east-1,t2.large,linux,0.094
us-east-1,t2.xlarge,linux,0.188
us-east-1,t2.2xlarge,linux,0.376
us-east-1,m4.large,linux,0.1
us-east-1,m4.xlarge,linux,0.2
us-east-1,m4.2xlarge,linux,0.4
us-east-1,m4.4xlarge,linux,0.8
us-east-1,m4.10xlarge,linux,2.0
us-east-1,m4.16xlarge,linux,3.2
us-east-1,m3.medium,linux,0.067
us-east-1,m3.large,linux,0.133
us-east-1,m3.xlarge,linux,0.266
us-east-1,m3.2xlarge,linux,0.532
us-east-1,c4.large,linux,0.1
us-east-1,c4.xlarge,linux,0.199
us-east-1,c4.2xlarge,linux,0.398
us-east-1,c4.4xlarge,linux,0.796
us-east-1,c4.8xlarge,linux,1.591
us-east-1,c3.large,linux,0.105
us-east-1,c3.xlarge,linux,0.21
us-east-1,c3.2xlarge,linux,0.42
us-east-1,c3.4xlarge,linux,0.84
us-east-1,c3.8xlarge,linux,1.68
us-east-1,p2.xlarge,linux,0.9
us-east-1,p2.8xlarge,linux,7.2
us-east-1,p2.16xlarge,linux,14.4
us-east-1,g2.2xlarge,linux,0.65
us-east-1,g2.8xlarge,linux,2.6
us-east-1,g3.4xlarge,linux,1.14
us-east-1,g3.8xlarge,linux,2.28
us-east-1,g3.16xlarge,linux,4.56
us-east-1,f1.2xlarge,linux,1.65
us-east-1,f1.16xlarge,linux,13.2
us-east-1,x1.16xlarge,linux,6.669
us-east-1,x1.32xlarge,linux,13.338
us-east-1,x1e.32xlarge,linux,26.688
us-east-1,r3.large,linux,0.166
us-east-1,r3.xlarge,linux,0.333
us-east-1,r3.2xlarge,linux,0.665
us-east-1,r3.4xlarge,linux,1.33
us-east-1,r3.8xlarge,linux,2.66
us-east-1,r4.large,linux,0.133
us-east-1,r4.xlarge,linux,0.266
us-east-1,r4.2xlarge,linux,0.532
us-east-1,r4.4xlarge,linux,1.064
us-east-1,r4.8xlarge,linux,2.128
us-east-1,r4.16xlarge,linux,4.256
us-east-1,i3.large,linux,0.156
us-east-1,i3.xlarge,linux,0.312
us-east-1,i3.2xlarge,linux,0.624
us-east-1,i3.4xlarge,linux,1.248
us-east-1,i3.8xlarge,linux,2.496
us-east-1,i3.16xlarge,linux,4.992
us-east-1,d2.xlarge,linux,0.69
us-east-1,d2.2xlarge,linux,1.38
us-east-1,d2.4xlarge,linux,2.76
us-east-1,d2.8xlarge,linux,5.52
us-east-2,t2.nano,linux,0.0059
us-east-2,t2.micro,linux,0.012
us-east-2,t2.small,linux,0.023
us-east-2,t2.medium,linux,0.047
us-east-2,t2.large,linux,0.094
us-east-2,t2.xlarge,linux,0.188
us-east-2,t2.2xlarge,linux,0.376
us-east-2,m4.large,linux,0.1
us-east-2,m4.xlarge,linux,0.2
us-east-2,m4.2xlarge,linux,0.4
us-east-2,m4.4xlarge,linux,0.8
us-east-2,m4.10xlarge,linux,2.0
us-east-2,m4.16xlarge,linux,3.2
us-east-2,c4.large,linux,0.1
us-east-2,c4.xlarge,linux,0.199
us-east-2,c4.2xlarge,linux,0.398
us-east-2,c4.4xlarge,linux,0.796
us-east-2,c4.8xlarge,linux,1.591
us-east-2,p2.xlarge,linux,0.9
us-east-2,p2.8xlarge,linux,7.2
us-east-2,p2.16xlarge,linux,14.4
us-east-2,g3.4xlarge,linux,1.14
us-east-2,g3.8xlarge,linux,2.28
